date,text,emotion
Wednesday 08 September 2021,I went for shopping today at the mall and ate lunch with my friend,neutro
Wednesday 08 September 2021,I have been trying to buy a house but I am not able to,neutro
Wednesday 08 September 2021,I did not feel good after going to the party today,preocupacao
"Thursday, 30 September 2021,"It went well. I am happy.","neutro"
"Thursday, 30 September 2021,"I take out time everyday for my health, I feel good.","entusiasmo"
"Thursday, 30 September 2021,"I don't want to go to school","odio"
"Monday, 17 January 2022,"It was awesome I went to the garden and played with my friends","felicidade"
"Date:1/19/2022,"It was great","felicidade"
"Date:1/19/2022,"It was raining today , I cannot go to school","preocupacao"
Date:2/1/2022,I was not good
,preocupacao,
"Date:2/1/2022,"It was great","felicidade"
"Date:2/1/2022,"I am not well","preocupacao"
"Date:2/1/2022,"It was awesome we went to zoo today","neutro"
